date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1999-10-01,14.0,14.25,14.0,14.125,8.45304012298584,3162400,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-04,14.125,14.125,14.0,14.0,8.378233909606934,533400,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-05,14.0,14.125,14.0,14.125,8.45304012298584,270600,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-06,14.125,14.875,14.125,14.875,8.901870727539062,205400,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-07,14.875,14.875,14.0625,14.125,8.45304012298584,214200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-08,14.1875,14.1875,14.0625,14.0625,8.415637016296387,65600,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-11,14.0625,14.125,14.0,14.0625,8.415637016296387,77500,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-12,14.0625,14.125,14.0,14.125,8.45304012298584,49200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-13,14.125,14.375,14.0,14.0625,8.415637016296387,49900,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-14,14.0,14.0625,13.25,13.625,8.153814315795898,430900,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-15,13.125,13.1875,12.6875,13.0625,7.8171892166137695,158200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-18,13.0,13.0,12.5,12.8125,7.66757869720459,83800,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-19,12.75,13.25,12.75,13.25,7.9293975830078125,58200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-20,13.375,13.5,13.125,13.125,7.854592800140381,62600,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-21,13.125,13.4375,13.0,13.4375,8.041607856750488,98200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-22,13.375,13.5625,13.3125,13.5,8.07901382446289,191200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-25,13.4375,13.9375,13.4375,13.9375,8.340828895568848,153100,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-26,13.8125,14.125,13.8125,14.0,8.378233909606934,65600,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-27,14.0,14.1875,14.0,14.0625,8.415637016296387,100900,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-28,14.1875,14.5,14.125,14.125,8.45304012298584,255300,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-10-29,14.125,15.25,14.125,15.25,9.1262845993042,123200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-01,15.0,15.0,14.625,14.75,8.827069282531738,41800,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-02,14.75,14.875,14.3125,14.75,8.827069282531738,66600,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-03,14.6875,14.875,14.6875,14.75,8.827069282531738,18500,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-04,14.875,15.125,14.5,14.9375,8.939274787902832,72100,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-05,15.0,15.875,14.875,15.75,9.425509452819824,122900,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-08,15.875,17.375,15.8125,16.625,9.949148178100586,240000,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-09,16.75,16.75,16.125,16.125,9.64992904663086,42400,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-10,16.0,16.125,15.8125,16.0625,9.612525939941406,59900,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-11,16.0625,16.25,16.0625,16.125,9.64992904663086,20000,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-12,16.25,18.5,16.25,18.0,10.772014617919922,248500,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-15,18.1875,18.1875,17.5,17.6875,10.585002899169922,99200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-16,17.6875,17.6875,17.375,17.4375,10.435388565063477,95300,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-17,17.6875,18.25,17.25,17.5,10.472794532775879,107900,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-18,17.5,17.5,17.25,17.25,10.323180198669434,67500,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-19,17.25,17.75,17.1875,17.625,10.547595977783203,31200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-22,17.5625,17.875,17.5625,17.8125,10.659802436828613,36500,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-23,17.8125,19.375,17.8125,19.125,11.44526195526123,65500,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-24,19.0,19.0,18.375,18.5625,11.108635902404785,53800,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-26,18.5,18.5,18.375,18.4375,11.033830642700195,2600,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-29,18.375,18.375,17.875,18.125,10.846823692321777,20200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-11-30,18.1875,18.5,18.1875,18.375,10.996431350708008,38100,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-12-01,18.375,18.625,18.25,18.5625,11.108635902404785,43800,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-12-02,18.5625,19.0,18.5625,19.0,11.370453834533691,33200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-12-03,19.125,19.375,19.0625,19.1875,11.48266887664795,62000,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-12-06,19.1875,19.1875,18.25,18.375,10.996431350708008,38200,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
1999-12-07,18.5,19.0,18.4375,18.625,11.146040916442871,112500,BLK,yfinance,2026-02-10T05:08:21.343576+00:00
