date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1997-10-16,5.8125,5.8125,5.5625,5.6875,3.4187588691711426,7436400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-17,5.65625,5.75,5.40625,5.59375,3.362406015396118,3390400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-20,5.5,5.625,5.46875,5.53125,3.324836015701294,3068000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-21,5.5625,5.6875,5.5,5.59375,3.362406015396118,2382400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-22,5.6875,5.75,5.59375,5.71875,3.437544345855713,1525200,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-23,5.6875,5.6875,5.53125,5.59375,3.362406015396118,1622400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-24,5.65625,5.71875,5.5625,5.71875,3.437544345855713,813600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-27,5.65625,5.75,5.375,5.421875,3.259091854095459,1507200,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-28,5.25,5.6875,4.9375,5.59375,3.362406015396118,2955600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-29,5.6875,5.71875,5.59375,5.65625,3.3999745845794678,1859200,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-30,5.53125,5.5625,5.375,5.5,3.3060507774353027,856000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-10-31,5.4375,5.640625,5.4375,5.5,3.3060507774353027,561600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-03,5.625,5.84375,5.53125,5.734375,3.4469351768493652,1004000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-04,5.75,5.875,5.6875,5.78125,3.475111484527588,364000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-05,5.8125,6.0625,5.78125,5.90625,3.550250768661499,324400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-06,5.875,6.25,5.875,6.25,3.756878614425659,361600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-07,6.1875,6.625,6.03125,6.4375,3.8695850372314453,662400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-10,6.3125,6.5,6.15625,6.15625,3.7005271911621094,266800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-11,5.9375,6.0,5.75,6.0,3.606602191925049,618000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-12,6.0,6.0,5.5625,5.6875,3.4187588691711426,314800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-13,5.5625,5.625,5.46875,5.5,3.3060507774353027,500000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-14,5.4375,5.5,5.3125,5.4375,3.2684834003448486,438000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-17,5.5,5.84375,5.5,5.8125,3.4938974380493164,284000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-18,5.875,5.875,5.6875,5.71875,3.437544345855713,1429600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-19,5.71875,5.8125,5.5625,5.5625,3.343620538711548,148400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-20,5.625,5.625,5.3125,5.5625,3.343620538711548,1268000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-21,5.5625,5.625,5.5,5.53125,3.324836015701294,640800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-24,5.5,5.59375,5.5,5.53125,3.324836015701294,64400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-25,5.5625,5.625,5.5,5.515625,3.3154451847076416,326800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-26,5.5,5.53125,5.234375,5.253905773162842,3.158125638961792,463200,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-11-28,5.28125,5.3125,5.25,5.25,3.1557788848876953,212800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-01,5.25,5.375,5.25,5.265625,3.1651690006256104,475200,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-02,5.375,5.5,5.28125,5.34375,3.2121315002441406,1280800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-03,5.4375,5.5,5.34375,5.5,3.3060507774353027,934400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-04,5.5,5.625,5.40625,5.546875,3.3342299461364746,681600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-05,5.5,5.75,5.4375,5.6875,3.4187588691711426,282800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-08,5.6875,5.75,5.65625,5.71875,3.437544345855713,227600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-09,5.75,5.8125,5.59375,5.59375,3.362406015396118,124000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-10,5.625,5.625,5.3125,5.375,3.2396023273468018,269600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-11,5.25,5.375,5.15625,5.3125,3.2019331455230713,400800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-12,5.375,5.375,5.15625,5.15625,3.107757568359375,412400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-15,5.25,5.375,5.171875,5.21875,3.145427703857422,289200,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-16,5.125,5.3125,5.125,5.21875,3.145427703857422,190800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-17,5.15625,5.1875,5.03125,5.03125,3.0324182510375977,584800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-18,5.09375,5.09375,4.96875,5.0,3.0135838985443115,272400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-19,5.03125,5.03125,4.9375,4.9375,2.9759137630462646,921600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-22,4.9375,5.3125,4.9375,5.0625,3.0512537956237793,924000,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-23,5.1875,5.1875,4.9375,5.0,3.0135838985443115,2331200,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-24,5.03125,5.03125,4.9375,4.9375,2.9759137630462646,50400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-26,5.0,5.0625,4.96875,5.0625,3.0512537956237793,1248400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-29,5.0625,5.28125,5.0,5.28125,3.183098316192627,430800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-30,5.0625,5.34375,5.0625,5.28125,3.183098316192627,662800,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1997-12-31,5.40625,5.6875,5.25,5.59375,3.3714473247528076,911600,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
1998-01-02,5.53125,5.78125,5.53125,5.78125,3.4844555854797363,112400,CHRW,yfinance,2026-02-10T05:08:27.318933+00:00
