date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,6.6875,6.6875,6.5,6.625,3.82563853263855,59200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-03,6.625,6.75,6.625,6.75,3.8978159427642822,12400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-04,6.75,6.75,6.6875,6.75,3.8978159427642822,71800,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-05,6.6875,6.6875,6.5625,6.625,3.82563853263855,10200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-08,6.5625,6.5625,6.375,6.4375,3.717363119125366,20600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-09,6.4375,6.5,6.375,6.375,3.681271553039551,19800,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-10,6.375,6.375,6.25,6.3125,3.6451807022094727,31200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-11,6.25,6.25,6.1875,6.25,3.609090566635132,33400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-12,6.1875,6.1875,6.125,6.125,3.5369083881378174,10600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-15,6.125,6.25,6.125,6.125,3.5369083881378174,17400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-16,6.125,6.125,6.0625,6.0625,3.5008175373077393,12200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-17,6.0625,6.1875,6.0,6.0625,3.5008175373077393,44200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-18,6.0625,6.125,6.0625,6.0625,3.5008175373077393,5800,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-19,6.0625,6.125,5.875,6.0,3.464726209640503,16400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-22,6.0,6.0625,5.9375,5.9375,3.4286372661590576,53800,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-23,6.0,6.125,6.0,6.125,3.5369083881378174,18200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-24,6.0,6.0,5.9375,5.9375,3.4286372661590576,3400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-25,5.9375,6.0625,5.9375,6.0,3.464726209640503,36000,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-26,6.0,6.0,5.9375,5.9375,3.4286372661590576,21200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-29,6.0,6.125,6.0,6.0625,3.5008175373077393,2600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-30,6.0625,6.0625,5.9375,5.9375,3.4286372661590576,129400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-01-31,6.0,6.125,6.0,6.125,3.5369083881378174,70400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-01,6.125,6.125,6.125,6.125,3.5369083881378174,21200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-02,6.125,6.125,6.125,6.125,3.5369083881378174,3600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-05,6.1875,6.25,6.1875,6.25,3.609090566635132,12200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-06,6.25,6.3125,6.1875,6.3125,3.6451807022094727,9000,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-07,6.3125,6.3125,6.1875,6.1875,3.5729994773864746,7000,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-08,6.1875,6.3125,6.1875,6.25,3.609090566635132,8600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-09,6.3125,6.4375,6.3125,6.4375,3.717363119125366,10200,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-12,6.5,6.625,6.5,6.5625,3.7895445823669434,10800,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-13,6.5625,6.625,6.5,6.625,3.82563853263855,6400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-14,6.5625,6.5625,6.5,6.5625,3.7895445823669434,89400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-15,6.5625,6.6875,6.5625,6.6875,3.8617255687713623,61600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-16,6.6875,6.75,6.5625,6.5625,3.7895445823669434,25000,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-20,6.5625,6.625,6.4375,6.5,3.753455638885498,62400,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-21,6.375,6.375,6.3125,6.3125,3.6451807022094727,28600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-22,6.3125,6.375,6.25,6.375,3.681271553039551,8800,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-23,6.3125,6.3125,6.3125,6.3125,3.6451807022094727,2000,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-26,6.3125,6.3125,6.25,6.25,3.609090566635132,7600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-27,6.25,6.25,6.125,6.125,3.5369083881378174,20600,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
1990-02-28,6.125,6.1875,6.0625,6.125,3.5369083881378174,10000,DVN,yfinance,2026-02-10T05:08:51.446909+00:00
