date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,8.0,8.0625,7.8125,7.9375,2.723601818084717,167400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-03,8.125,8.25,8.0,8.0,2.745049238204956,1674800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-04,7.9375,8.0625,7.875,8.0625,2.766494035720825,356000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-05,8.0,8.1875,8.0,8.0,2.745049238204956,804000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-08,8.0,8.0,7.8125,7.875,2.7021584510803223,318800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-09,7.875,8.125,7.875,8.0625,2.766494035720825,423600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-10,8.0,8.25,8.0,8.25,2.830831527709961,487200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-11,8.375,8.6875,8.3125,8.625,2.9595065116882324,300600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-12,8.625,8.625,8.25,8.4375,2.895167112350464,206200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-15,8.375,8.375,8.1875,8.1875,2.809387683868408,38400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-16,8.1875,8.1875,7.875,8.125,2.787940740585327,246800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-17,8.125,8.3125,8.0,8.25,2.830831527709961,144200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-18,8.25,8.25,8.0,8.0,2.745049238204956,193000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-19,8.125,8.1875,8.0,8.0625,2.766494035720825,65200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-22,8.0625,8.0625,7.75,7.75,2.6592655181884766,61000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-23,7.8125,7.8125,7.625,7.625,2.6163759231567383,245200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-24,7.625,7.625,7.3125,7.4375,2.552037477493286,271200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-25,7.4375,7.4375,7.3125,7.3125,2.5091474056243896,114600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-26,7.375,7.4375,7.25,7.375,2.530592441558838,219600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-29,7.4375,7.4375,7.25,7.25,2.487700939178467,77200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-30,7.25,7.375,7.0,7.0625,2.423362970352173,157000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-01-31,7.0625,7.1875,6.875,7.1875,2.4662554264068604,305400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-01,7.3125,7.4375,7.3125,7.375,2.530592441558838,138000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-02,7.4375,7.625,7.375,7.5,2.5734832286834717,282600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-05,7.625,7.6875,7.4375,7.4375,2.552037477493286,516400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-06,7.5,7.5,7.25,7.4375,2.552037477493286,158400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-07,7.4375,7.75,7.4375,7.75,2.6592655181884766,278800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-08,7.8125,8.1875,7.8125,8.0,2.745049238204956,308000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-09,8.0,8.0,7.875,7.9375,2.723601818084717,178600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-12,8.0,8.0,7.875,7.9375,2.723601818084717,39600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-13,7.9375,7.9375,7.8125,7.9375,2.723601818084717,73600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-14,7.875,7.875,7.8125,7.875,2.7021584510803223,111800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-15,7.8125,7.875,7.75,7.8125,2.7012946605682373,415800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-16,7.75,7.875,7.75,7.875,2.7229044437408447,122000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-20,7.9375,8.0,7.8125,7.9375,2.7445123195648193,648200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-21,7.875,8.125,7.875,8.0625,2.787733793258667,331400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-22,8.0625,8.25,8.0625,8.0625,2.787733793258667,37400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-23,8.0,8.1875,8.0,8.1875,2.8309566974639893,82000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-26,8.125,8.1875,7.8125,8.0,2.7661240100860596,157400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-27,8.0,8.0,7.9375,8.0,2.7661240100860596,26400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-02-28,8.0,8.0,7.8125,7.9375,2.7445123195648193,48000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-01,7.75,7.875,7.75,7.75,2.6796822547912598,175400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-02,7.6875,7.875,7.6875,7.75,2.6796822547912598,37800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-05,7.75,7.9375,7.6875,7.8125,2.7012946605682373,76600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-06,7.8125,7.9375,7.8125,7.875,2.7229044437408447,58800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-07,7.875,7.875,7.75,7.75,2.6796822547912598,14400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-08,7.75,8.0,7.75,7.875,2.7229044437408447,218800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-09,7.875,8.0,7.875,8.0,2.7661240100860596,147400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-12,8.0,8.125,8.0,8.0625,2.787733793258667,65600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-13,8.0625,8.0625,7.9375,8.0,2.7661240100860596,124400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-14,8.0625,8.1875,8.0625,8.125,2.809345245361328,71000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-15,8.0625,8.25,8.0625,8.25,2.852565288543701,113400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-16,8.375,8.5,8.25,8.4375,2.9173948764801025,212800,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-19,8.375,8.5625,8.375,8.5,2.9390079975128174,95600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-20,8.4375,8.5,8.25,8.375,2.8957865238189697,155400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-21,8.4375,8.4375,8.375,8.375,2.8957865238189697,16200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-22,8.4375,8.4375,8.125,8.125,2.809345245361328,133000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-23,8.1875,8.1875,8.0625,8.1875,2.8309566974639893,63600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-26,8.1875,8.3125,8.1875,8.25,2.852565288543701,56200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-27,8.25,8.375,8.25,8.25,2.852565288543701,228600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-28,8.375,8.375,8.25,8.3125,2.8741769790649414,27000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-29,8.25,8.3125,8.1875,8.3125,2.8741769790649414,133600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-03-30,8.375,8.4375,8.25,8.375,2.8957865238189697,65000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-04-02,8.3125,8.4375,8.3125,8.4375,2.9173948764801025,54200,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-04-03,8.375,8.5,8.375,8.4375,2.9173948764801025,99600,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-04-04,8.375,8.5,8.375,8.5,2.9390079975128174,128400,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-04-05,8.5,8.6875,8.4375,8.5,2.9390079975128174,275000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
1990-04-06,8.625,8.625,8.4375,8.5625,2.9606165885925293,128000,EFX,yfinance,2026-02-10T05:09:02.838365+00:00
