date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,1.8148150444030762,1.8641979694366455,1.7962960004806519,1.8641979694366455,1.050007700920105,6206625,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-03,1.8765430450439453,1.888888955116272,1.8518520593643188,1.8703700304031372,1.0534842014312744,5591025,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-04,1.8641979694366455,1.888888955116272,1.8580249547958374,1.8827159404754639,1.0604380369186401,3183300,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-05,1.8827159404754639,1.8827159404754639,1.8518520593643188,1.8580249547958374,1.04653000831604,2782350,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-08,1.8456790447235107,1.8518520593643188,1.8333330154418945,1.8395060300827026,1.0360997915267944,1455975,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-09,1.8395060300827026,1.8395060300827026,1.7901229858398438,1.7901229858398438,1.0082849264144897,1854900,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-10,1.7901229858398438,1.80246901512146,1.7654320001602173,1.80246901512146,1.015238642692566,1891350,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-11,1.8271600008010864,1.8333330154418945,1.808642029762268,1.8148150444030762,1.0221922397613525,1099575,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-12,1.7962960004806519,1.808642029762268,1.7222219705581665,1.746914029121399,0.9839474558830261,2377350,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-15,1.7407410144805908,1.746914029121399,1.7037039995193481,1.7283949851989746,0.9735164642333984,2968650,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-16,1.7160489559173584,1.7592589855194092,1.7160489559173584,1.753085970878601,0.9874230623245239,4582575,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-17,1.7654320001602173,1.8271600008010864,1.7592589855194092,1.80246901512146,1.015238642692566,8642700,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-18,1.7777780294418335,1.8641979694366455,1.7716050148010254,1.8641979694366455,1.050007700920105,5973750,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-19,1.8765430450439453,1.9135799407958984,1.8765430450439453,1.89506196975708,1.0673913955688477,7034850,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-22,1.9012349843978882,1.9012349843978882,1.8271600008010864,1.8518520593643188,1.0430538654327393,5591025,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-23,1.8518520593643188,1.9074070453643799,1.8518520593643188,1.8827159404754639,1.0604380369186401,5131350,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-24,1.80246901512146,1.8827159404754639,1.7839510440826416,1.8827159404754639,1.0604380369186401,5791500,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-25,1.8765430450439453,1.8827159404754639,1.8209880590438843,1.8271600008010864,1.029145359992981,3438450,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-26,1.8271600008010864,1.8518520593643188,1.7716050148010254,1.808642029762268,1.0187156200408936,5068575,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-29,1.80246901512146,1.808642029762268,1.7407410144805908,1.7777780294418335,1.0013314485549927,6662250,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-30,1.7654320001602173,1.7716050148010254,1.7037039995193481,1.7283949851989746,0.9735164642333984,10829700,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-01-31,1.7160489559173584,1.7345679998397827,1.7037039995193481,1.7345679998397827,0.9769935607910156,8606250,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-01,1.746914029121399,1.753085970878601,1.7222219705581665,1.7407410144805908,0.980470597743988,3476925,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-02,1.7222219705581665,1.8209880590438843,1.7222219705581665,1.7962960004806519,1.011762022972107,7223175,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-05,1.7962960004806519,1.8395060300827026,1.7962960004806519,1.8209880590438843,1.025669813156128,3950775,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-06,1.8271600008010864,1.8333330154418945,1.7962960004806519,1.8271600008010864,1.029145359992981,4663575,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-07,1.8209880590438843,1.888888955116272,1.8148150444030762,1.8765430450439453,1.0569603443145752,6196500,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-08,1.8827159404754639,1.8827159404754639,1.8271600008010864,1.8333330154418945,1.0326228141784668,4491450,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-09,1.8271600008010864,1.8703700304031372,1.8148150444030762,1.8580249547958374,1.04653000831604,4884300,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-12,1.8580249547958374,1.8580249547958374,1.8148150444030762,1.8209880590438843,1.025669813156128,2055375,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-13,1.8333330154418945,1.8333330154418945,1.8148150444030762,1.8209880590438843,1.025669813156128,2626425,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-14,1.8271600008010864,1.8641979694366455,1.8209880590438843,1.8271600008010864,1.029145359992981,3379725,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-15,1.8271600008010864,1.8395060300827026,1.8148150444030762,1.8271600008010864,1.029145359992981,3270375,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-16,1.8271600008010864,1.8518520593643188,1.7901229858398438,1.7962960004806519,1.011762022972107,2741850,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-20,1.7839510440826416,1.7839510440826416,1.7345679998397827,1.7654320001602173,0.994377851486206,4311225,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-21,1.7654320001602173,1.8209880590438843,1.7407410144805908,1.8209880590438843,1.025669813156128,3572100,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-22,1.8641979694366455,1.888888955116272,1.8395060300827026,1.8641979694366455,1.0508619546890259,6202575,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-23,1.8271600008010864,1.8333330154418945,1.7839510440826416,1.808642029762268,1.0195448398590088,2764125,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-26,1.8209880590438843,1.8827159404754639,1.8148150444030762,1.8765430450439453,1.0578211545944214,3657150,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-27,1.8765430450439453,1.944443941116333,1.8641979694366455,1.9382719993591309,1.0926182270050049,9809100,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-02-28,1.9320989847183228,1.993826985359192,1.9320989847183228,1.9629629850387573,1.1065362691879272,8993025,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-03-01,1.9691359996795654,1.9691359996795654,1.9567899703979492,1.9691359996795654,1.1100162267684937,6571125,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-03-02,1.9629629850387573,1.9753090143203735,1.9567899703979492,1.9691359996795654,1.1100162267684937,3185325,HD,yfinance,2026-02-10T05:09:23.554569+00:00
1990-03-05,1.9567899703979492,2.0,1.9567899703979492,1.9814809560775757,1.11697518825531,3671325,HD,yfinance,2026-02-10T05:09:23.554569+00:00
