date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,1.84375,1.921875,1.828125,1.921875,1.3531315326690674,1260800,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-03,1.90625,1.9375,1.90625,1.90625,1.342130422592163,1176800,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-04,1.90625,1.953125,1.875,1.90625,1.342130422592163,1201600,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-05,1.890625,2.015625,1.890625,2.015625,1.4191378355026245,1529600,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-08,2.0,2.015625,1.953125,1.984375,1.3971357345581055,1774400,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-09,1.984375,2.015625,1.921875,1.9375,1.364132285118103,1128800,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-10,1.90625,1.9375,1.875,1.921875,1.3531315326690674,1265600,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-11,1.921875,1.953125,1.90625,1.921875,1.3531315326690674,552800,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-12,1.890625,1.90625,1.8125,1.859375,1.3091267347335815,1166400,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-15,1.84375,1.84375,1.796875,1.8125,1.2761238813400269,916000,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-16,1.78125,1.796875,1.765625,1.78125,1.2541217803955078,778400,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-17,1.78125,1.78125,1.75,1.75,1.2321199178695679,2027200,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-18,1.75,1.78125,1.75,1.75,1.2321199178695679,657600,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-19,1.75,1.75,1.65625,1.71875,1.2101171016693115,980000,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-22,1.734375,1.75,1.65625,1.65625,1.166113257408142,1303200,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-23,1.65625,1.671875,1.625,1.640625,1.1551121473312378,1486400,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-24,1.625,1.65625,1.578125,1.640625,1.1551121473312378,1578400,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-25,1.65625,1.75,1.609375,1.609375,1.1331101655960083,2414400,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-26,1.625,1.640625,1.59375,1.640625,1.1551121473312378,2024000,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-29,1.65625,1.6875,1.625,1.65625,1.166113257408142,1532800,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-30,1.65625,1.671875,1.59375,1.59375,1.1221089363098145,1933600,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-01-31,1.625,1.640625,1.5,1.546875,1.0891059637069702,4949600,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-02-01,1.546875,1.59375,1.515625,1.578125,1.1111079454421997,2752800,KR,yfinance,2026-02-10T05:09:40.593480+00:00
1990-02-02,1.578125,1.671875,1.5625,1.671875,1.177114486694336,2186400,KR,yfinance,2026-02-10T05:09:40.593480+00:00
