date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,4.5625,4.5625,4.5,4.5625,1.1617722511291504,1388000,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-03,4.53125,4.53125,4.484375,4.5,1.145857572555542,2979200,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-04,4.484375,4.484375,4.34375,4.390625,1.1180075407028198,3014400,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-05,4.40625,4.40625,4.28125,4.328125,1.10209321975708,4585600,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-08,4.3125,4.3125,4.203125,4.25,1.0821987390518188,8185600,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-09,4.25,4.25,4.140625,4.203125,1.0702630281448364,2710400,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-10,4.1875,4.25,4.171875,4.234375,1.0782204866409302,5092800,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-11,4.25,4.296875,4.25,4.265625,1.086177945137024,3532000,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-12,4.25,4.265625,4.171875,4.171875,1.0623058080673218,2315200,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-15,4.203125,4.21875,4.171875,4.203125,1.0702630281448364,1595200,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-16,4.1875,4.265625,4.1875,4.265625,1.086177945137024,4872000,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-17,4.28125,4.328125,4.265625,4.28125,1.090156078338623,1694400,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-18,4.265625,4.296875,4.25,4.296875,1.094135046005249,3430400,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-19,4.296875,4.3125,4.265625,4.296875,1.094135046005249,4951200,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-22,4.3125,4.3125,4.21875,4.21875,1.0742418766021729,1542400,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-23,4.21875,4.265625,4.21875,4.25,1.0821987390518188,968000,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-24,4.21875,4.265625,4.21875,4.234375,1.0782204866409302,1544800,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-25,4.25,4.25,4.21875,4.21875,1.0742418766021729,1412800,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-26,4.21875,4.25,4.203125,4.234375,1.0782204866409302,2711200,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-29,4.234375,4.234375,4.203125,4.234375,1.0782204866409302,1176000,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-30,4.203125,4.21875,4.125,4.203125,1.0702630281448364,1429600,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-01-31,4.21875,4.265625,4.21875,4.25,1.0821987390518188,1316800,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
1990-02-01,4.234375,4.25,4.1875,4.21875,1.0742418766021729,1403200,NEE,yfinance,2026-02-10T05:10:00.784534+00:00
