date,open,high,low,close,adj_close,volume,ticker,source,updated_at
2023-10-04,76.66999816894531,80.62000274658203,76.3499984741211,77.80000305175781,77.06692504882812,8358300,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-05,76.0,76.98999786376953,72.6500015258789,74.44999694824219,73.74848937988281,15351900,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-06,73.04000091552734,78.47000122070312,73.04000091552734,77.9800033569336,77.24524688720703,7781100,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-09,76.6500015258789,78.0,73.73400115966797,74.61000061035156,73.90699768066406,7000900,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-10,73.95999908447266,75.51000213623047,72.5,75.0,74.29331970214844,5385600,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-11,74.44000244140625,76.55999755859375,73.61000061035156,74.47000122070312,73.76831817626953,4602500,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-12,73.75,75.30000305175781,72.75,74.2300033569336,73.53057861328125,4668700,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-13,73.62999725341797,73.98999786376953,70.47000122070312,71.8499984741211,71.17300415039062,5286500,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-16,71.62000274658203,74.83999633789062,71.62000274658203,74.20999908447266,73.51075744628906,4555000,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-17,73.12999725341797,75.125,73.01000213623047,74.4800033569336,73.77822875976562,2584900,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-18,73.5,73.93099975585938,72.27100372314453,72.44999694824219,71.76734924316406,2959800,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-19,71.81999969482422,72.73999786376953,69.94999694824219,70.29000091552734,69.62770080566406,2867400,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-20,70.4000015258789,70.77999877929688,68.9000015258789,69.93000030517578,69.27110290527344,3151500,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-23,69.30000305175781,72.47000122070312,67.6500015258789,71.9000015258789,71.22252655029297,4089800,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-24,72.29000091552734,73.70999908447266,71.79000091552734,72.01000213623047,71.33149719238281,3432200,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-25,71.30000305175781,72.33499908447266,69.77999877929688,70.79000091552734,70.12298583984375,3298200,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-26,66.33000183105469,72.2300033569336,65.51000213623047,70.0,69.3404312133789,3537100,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-27,68.63999938964844,69.44000244140625,67.75,67.98999786376953,67.349365234375,3412000,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-30,68.4800033569336,69.33000183105469,67.41999816894531,68.36000061035156,67.71588897705078,3393700,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-10-31,68.91999816894531,69.7300033569336,67.6500015258789,69.0,68.34986114501953,3370700,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
2023-11-01,68.16000366210938,69.19000244140625,67.47000122070312,67.51000213623047,66.8739013671875,2503500,VLTO,yfinance,2026-02-10T05:10:50.146691+00:00
