date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1995-06-16,7.5,8.0,7.4375,7.5,6.770630359649658,6212400,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-19,7.5625,7.625,7.0625,7.1875,6.488522529602051,1528200,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-20,7.25,7.3125,7.1875,7.1875,6.488522529602051,863000,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-21,7.25,7.25,7.0,7.0625,6.37567663192749,629000,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-22,7.0625,7.5625,7.0,7.3125,6.601365089416504,546200,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-23,7.375,7.4375,7.25,7.3125,6.601365089416504,365000,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-26,7.3125,7.375,7.0,7.0625,6.37567663192749,515400,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-27,7.125,7.125,7.0,7.0,6.319255828857422,270800,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-28,7.0625,7.0625,7.0,7.0,6.319255828857422,500400,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-29,7.0,7.125,7.0,7.0,6.319255828857422,309200,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-06-30,7.0625,7.1875,7.0625,7.125,6.432099342346191,95000,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-03,7.0625,7.125,7.0625,7.0625,6.37567663192749,9200,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-05,7.125,7.125,7.0625,7.0625,6.37567663192749,75600,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-06,7.0625,7.125,7.0625,7.0625,6.37567663192749,81400,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-07,7.0625,7.625,7.0625,7.5625,6.827054500579834,475000,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-10,7.5,7.75,7.5,7.75,6.9963178634643555,241400,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-11,7.625,8.5625,7.625,8.5,7.673379898071289,538600,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-12,8.5,9.0625,8.375,9.0,8.12475299835205,496200,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-13,9.0,9.0,8.8125,8.9375,8.068334579467773,384000,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-14,8.9375,8.9375,8.75,8.9375,8.068334579467773,102200,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
1995-07-17,9.0625,9.5,9.0625,9.4375,8.519710540771484,480200,WAB,yfinance,2026-02-10T05:10:54.906308+00:00
