date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,1.5,1.5,1.5,1.5,0.8352645635604858,0,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-03,1.5,1.75,1.5,1.5,0.8352645635604858,14000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-04,1.5,1.625,1.5,1.5,0.8352645635604858,4000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-05,1.625,1.75,1.625,1.625,0.9048696160316467,6000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-08,1.625,1.75,1.625,1.625,0.9048696160316467,6000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-09,1.625,1.75,1.5,1.5,0.8352645635604858,4000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-10,1.5,1.75,1.5,1.5,0.8352645635604858,3000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-11,1.5,1.75,1.5,1.5,0.8352645635604858,1000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-12,1.5,1.75,1.5,1.5,0.8352645635604858,1200,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-15,1.625,1.625,1.625,1.625,0.9048696160316467,2500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-16,1.625,1.625,1.5,1.5,0.8352645635604858,3500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-17,1.625,1.75,1.625,1.625,0.9048696160316467,27500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-18,1.625,1.75,1.625,1.625,0.9048696160316467,11600,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-19,1.625,1.75,1.625,1.625,0.9048696160316467,1500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-22,1.625,1.625,1.625,1.625,0.9048696160316467,0,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-23,1.625,1.75,1.625,1.625,0.9048696160316467,2000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-24,1.625,1.75,1.5,1.5,0.8352645635604858,11200,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-25,1.5,1.75,1.5,1.5,0.8352645635604858,4100,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-26,1.5,1.75,1.5,1.5,0.8352645635604858,1000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-29,1.5,1.625,1.5,1.5,0.8352645635604858,3500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-30,1.5,1.5,1.375,1.375,0.7656590938568115,12700,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-01-31,1.375,1.375,1.375,1.375,0.7656590938568115,0,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-01,1.375,1.625,1.375,1.375,0.7656590938568115,1000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-02,1.375,1.375,1.375,1.375,0.7656590938568115,0,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-05,1.5,1.625,1.5,1.5,0.8352645635604858,500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-06,1.5,1.625,1.375,1.375,0.7656590938568115,5800,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-07,1.375,1.5,1.375,1.375,0.7656590938568115,6500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-08,1.375,1.5,1.375,1.375,0.7656590938568115,3100,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-09,1.375,1.5,1.375,1.375,0.7656590938568115,3000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-12,1.375,1.5,1.375,1.375,0.7656590938568115,200,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-13,1.375,1.5,1.375,1.375,0.7656590938568115,8100,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-14,1.375,1.375,1.375,1.375,0.7656590938568115,0,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-15,1.375,1.5,1.375,1.375,0.7656590938568115,12500,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-16,1.375,1.5,1.375,1.375,0.7656590938568115,3100,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-20,1.375,1.5,1.375,1.375,0.7656590938568115,1600,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-21,1.375,1.375,1.375,1.375,0.7656590938568115,0,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-22,1.375,1.5,1.375,1.375,0.7656590938568115,2000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-23,1.375,1.5,1.375,1.375,0.7656590938568115,100,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-26,1.375,1.375,1.375,1.375,0.7656590938568115,0,WM,yfinance,2026-02-10T05:10:56.475871+00:00
1990-02-27,1.5,1.5,1.5,1.5,0.8352645635604858,1000,WM,yfinance,2026-02-10T05:10:56.475871+00:00
