date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,0.2421880066394806,0.2460940033197403,0.2265630066394806,0.2382809966802597,0.11205197870731354,2969600,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-03,0.2382809966802597,0.25,0.234375,0.25,0.11756289005279541,1800000,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-04,0.25,0.2578130066394806,0.2421880066394806,0.2539060115814209,0.11939956992864609,1800000,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-05,0.2539060115814209,0.2617189884185791,0.25,0.2539060115814209,0.11939956992864609,888000,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-08,0.2539060115814209,0.2617189884185791,0.25,0.25,0.11756289005279541,632000,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-09,0.25,0.2578130066394806,0.234375,0.2421880066394806,0.11388922482728958,1840000,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-10,0.2421880066394806,0.2421880066394806,0.2226559966802597,0.2265630066394806,0.10654157400131226,827200,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-11,0.2265630066394806,0.234375,0.2265630066394806,0.234375,0.11021509766578674,859200,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-12,0.234375,0.234375,0.21875,0.2265630066394806,0.10654157400131226,1153600,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-15,0.2265630066394806,0.2265630066394806,0.21875,0.21875,0.1028674989938736,441600,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-16,0.21875,0.2226559966802597,0.2109380066394806,0.2109380066394806,0.09919382631778717,1366400,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-17,0.2109380066394806,0.2265630066394806,0.2109380066394806,0.2226559966802597,0.10470426827669144,1668800,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-18,0.2226559966802597,0.2226559966802597,0.2148440033197403,0.2226559966802597,0.10470426827669144,888000,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-19,0.2226559966802597,0.2304690033197403,0.2148440033197403,0.2304690033197403,0.10837838053703308,1462400,SU,yfinance,2026-02-10T23:57:42.901667+00:00
1990-01-22,0.2304690033197403,0.2304690033197403,0.2109380066394806,0.21875,0.1028674989938736,1628800,SU,yfinance,2026-02-10T23:57:42.901667+00:00
