date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1995-10-16,5.75,5.8125,5.75,5.8125,1.847111701965332,62000,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-17,5.8125,5.8125,5.8125,5.8125,1.847111701965332,53200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-18,5.78125,5.84375,5.78125,5.8125,1.847111701965332,72000,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-19,5.84375,5.84375,5.8125,5.8125,1.847111701965332,5200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-20,5.71875,5.71875,5.65625,5.65625,1.7974586486816406,16400,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-23,5.46875,5.46875,5.25,5.25,1.668359398841858,34000,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-24,5.1875,5.34375,5.125,5.34375,1.69815194606781,50400,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-25,5.3125,5.3125,5.21875,5.21875,1.6584289073944092,65600,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-26,5.28125,5.28125,5.1875,5.1875,1.6484981775283813,63200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-27,5.125,5.40625,5.125,5.40625,1.7180124521255493,145200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-30,5.46875,5.5,5.3125,5.40625,1.7180124521255493,65200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-10-31,5.65625,5.75,5.59375,5.625,1.7875276803970337,88400,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-01,5.65625,5.65625,5.5625,5.59375,1.7775975465774536,45200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-02,5.5625,5.6875,5.5625,5.6875,1.8073883056640625,13200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-03,5.71875,5.71875,5.6875,5.71875,1.8173197507858276,35200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-06,5.65625,5.75,5.65625,5.75,1.827250361442566,110000,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-07,5.625,5.6875,5.625,5.6875,1.8073883056640625,16800,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-08,5.65625,5.65625,5.65625,5.65625,1.7974586486816406,33600,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-09,5.6875,5.6875,5.59375,5.59375,1.7775975465774536,12000,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-10,5.5625,5.59375,5.5625,5.59375,1.7775975465774536,11200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-13,5.625,5.71875,5.59375,5.71875,1.8173197507858276,14000,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-14,5.65625,5.71875,5.65625,5.71875,1.8173197507858276,12800,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-15,5.65625,5.65625,5.625,5.625,1.7875276803970337,5600,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-16,5.71875,5.71875,5.6875,5.6875,1.8073883056640625,4800,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-17,5.6875,5.71875,5.6875,5.6875,1.8073883056640625,11200,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-20,5.6875,5.75,5.6875,5.71875,1.8173197507858276,10000,RY,yfinance,2026-02-10T23:57:37.470918+00:00
1995-11-21,5.71875,5.71875,5.71875,5.71875,1.8173197507858276,0,RY,yfinance,2026-02-10T23:57:37.470918+00:00
