date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1998-02-27,17.375,18.0,17.375,17.375,12.704217910766602,50000,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-02,17.25,17.25,17.0,17.25,12.612821578979492,75000,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-03,17.125,17.125,16.75,17.125,12.5214262008667,35000,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-04,15.75,15.75,15.5,15.75,11.516054153442383,60000,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-05,16.125,16.125,16.125,16.125,11.79024600982666,400,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-06,16.125,16.375,16.125,16.125,11.79024600982666,3600,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-09,16.125,16.5,15.875,15.875,11.607451438903809,3200,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-10,15.875,16.875,15.875,16.25,11.881643295288086,56800,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-11,16.25,16.5,16.125,16.25,11.881643295288086,10400,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-12,16.25,16.375,16.125,16.375,11.973039627075195,3800,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-13,16.5,16.5,16.5,16.5,12.064436912536621,1000,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-16,16.5,16.5,16.125,16.125,11.79024600982666,7700,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-17,16.125,16.125,15.75,15.875,11.607451438903809,28000,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-18,15.875,16.125,15.75,16.125,11.79024600982666,45700,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-19,16.125,17.375,16.0,17.125,12.5214262008667,383600,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-20,17.25,17.75,17.25,17.75,12.978410720825195,275600,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-23,17.75,19.0,17.375,18.875,13.800987243652344,398600,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-24,18.875,19.875,18.875,19.75,14.440764427185059,261800,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-25,19.75,20.125,19.5,19.875,14.532173156738281,135600,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-26,19.875,19.875,19.25,19.625,14.349370956420898,26300,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-27,19.625,19.75,18.375,19.25,14.075172424316406,62200,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-30,19.25,19.875,19.25,19.875,14.532173156738281,49500,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
1998-03-31,19.875,20.25,19.875,20.125,14.714956283569336,79000,AMT,yfinance,2026-02-10T05:08:07.493192+00:00
