date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,7.234375,7.359375,7.21875,7.359375,3.15346622467041,2910400,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-03,7.421875,7.515625,7.421875,7.4375,3.186941385269165,5712000,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-04,7.4375,7.484375,7.421875,7.46875,3.2003321647644043,2397600,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-05,7.46875,7.46875,7.390625,7.421875,3.180245876312256,2043200,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-08,7.421875,7.421875,7.328125,7.375,3.160161256790161,1340800,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-09,7.375,7.421875,7.3125,7.328125,3.1400749683380127,2283200,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-10,7.328125,7.375,7.296875,7.34375,3.14676833152771,2684800,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-11,7.34375,7.375,7.328125,7.34375,3.14676833152771,2259200,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-12,7.328125,7.328125,7.203125,7.21875,3.093207597732544,1362400,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-15,7.203125,7.203125,7.15625,7.1875,3.0798165798187256,1007200,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-16,7.15625,7.15625,7.078125,7.125,3.069049835205078,2668000,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-17,7.046875,7.046875,6.8125,6.859375,2.954632520675659,7724000,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-18,6.859375,7.03125,6.6875,6.921875,2.9815542697906494,6443200,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-19,6.921875,6.921875,6.84375,6.890625,2.9680917263031006,4531200,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-22,6.890625,6.90625,6.765625,6.8125,2.9344420433044434,1825600,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-23,6.8125,6.9375,6.796875,6.90625,2.974822759628296,2964800,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-24,6.90625,7.03125,6.78125,6.96875,3.001743793487549,3203200,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
1990-01-25,6.96875,7.0,6.890625,6.890625,2.9680917263031006,1330400,CAT,yfinance,2026-02-10T05:08:30.145599+00:00
