date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1998-08-18,12.487875938415527,12.730359077453613,12.487875938415527,12.609116554260254,7.800063610076904,5962273,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-19,12.609116554260254,12.85159969329834,12.609116554260254,12.609116554260254,7.800063610076904,400750,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-20,12.730359077453613,12.85159969329834,12.609116554260254,12.609116554260254,7.800063610076904,359304,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-21,12.609116554260254,12.609116554260254,12.609116554260254,12.609116554260254,7.800063610076904,828924,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-24,12.609116554260254,12.609116554260254,12.609116554260254,12.609116554260254,7.800063610076904,123411,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-25,12.609116554260254,12.609116554260254,12.487875938415527,12.609116554260254,7.800063610076904,303217,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-26,12.609116554260254,12.609116554260254,11.760427474975586,11.881668090820312,7.350059986114502,395698,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-27,11.881668090820312,12.002909660339355,10.426770210266113,10.790494918823242,6.675051212310791,448794,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-28,11.032978057861328,11.032978057861328,9.699320793151855,9.699320793151855,6.00004768371582,198364,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-08-31,9.699320793151855,9.820563316345215,7.3957319259643555,7.880698204040527,4.875039577484131,155475,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-09-01,8.00193977355957,8.729389190673828,6.48642110824585,8.244422912597656,5.100043296813965,454362,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-09-02,8.244422912597656,10.184287071228027,8.244422912597656,9.274975776672363,5.737546920776367,524985,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
1998-09-03,9.45683765411377,9.45683765411377,8.244422912597656,8.486906051635742,5.25004243850708,171043,CCI,yfinance,2026-02-10T05:08:47.497095+00:00
