date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,37.75,37.875,37.5,37.625,12.519909858703613,81100,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-03,38.0,38.5,38.0,38.5,12.811071395874023,261400,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-04,38.5,38.5,37.75,38.0,12.64469051361084,80900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-05,37.75,37.875,37.25,37.5,12.478310585021973,65400,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-08,37.75,37.875,37.25,37.75,12.561504364013672,79800,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-09,37.5,37.5,36.375,36.375,12.10396671295166,205500,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-10,36.5,37.0,36.375,37.0,12.311938285827637,109900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-11,37.0,37.0,36.75,36.75,12.228742599487305,101800,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-12,36.5,36.5,36.0,36.25,12.062368392944336,115800,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-15,36.125,36.125,35.375,35.375,11.77120590209961,86900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-16,35.125,36.0,34.875,35.875,11.937588691711426,173100,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-17,36.125,36.125,35.75,35.875,11.937588691711426,144500,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-18,36.0,36.0,35.5,35.875,11.937588691711426,49400,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-19,36.0,36.625,36.0,36.375,12.10396671295166,234300,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-22,36.25,36.5,35.25,35.25,11.729612350463867,112700,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-23,35.625,36.0,34.625,34.875,11.604832649230957,234200,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-24,34.0,34.375,33.625,34.25,11.396859169006348,167700,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-25,34.5,34.5,33.0,33.0,10.980914115905762,498100,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-26,33.0,33.625,32.75,33.5,11.147293090820312,567900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-29,33.875,33.875,33.125,33.375,11.105695724487305,136100,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-30,33.5,33.75,32.5,32.625,10.88875675201416,488200,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-01-31,33.125,33.75,33.125,33.75,11.264230728149414,380800,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-01,34.0,34.375,33.875,34.375,11.472826957702637,166300,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-02,34.25,34.625,34.125,34.5,11.514552116394043,66600,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-05,34.25,34.625,34.25,34.625,11.556262016296387,58000,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-06,34.375,34.5,34.0,34.25,11.431110382080078,103100,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-07,34.0,34.625,33.875,34.625,11.556262016296387,56000,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-08,34.625,35.125,34.5,34.875,11.63970947265625,262100,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-09,35.0,35.0,34.75,34.875,11.63970947265625,89600,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-12,34.75,35.0,34.75,35.0,11.681429862976074,111900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-13,34.75,34.875,34.625,34.75,11.597986221313477,381400,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-14,34.75,34.75,34.0,34.375,11.472826957702637,76000,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-15,34.625,34.75,34.5,34.75,11.597986221313477,42700,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-16,34.625,34.75,34.25,34.375,11.472826957702637,64800,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-20,34.25,34.5,34.125,34.375,11.472826957702637,145200,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-21,34.125,34.375,34.0,34.0,11.347673416137695,103700,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-22,34.0,34.25,33.5,33.75,11.264230728149414,110500,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-23,33.75,33.75,32.25,32.625,10.88875675201416,108400,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-26,32.375,32.75,31.375,32.625,10.88875675201416,498900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-27,33.0,33.0,32.625,32.625,10.88875675201416,151800,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-02-28,32.625,33.125,32.5,33.125,11.055642127990723,250100,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-01,33.125,33.875,33.125,33.625,11.222517013549805,90500,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-02,33.5,34.0,33.5,33.875,11.305947303771973,86900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-05,34.125,34.125,33.75,33.75,11.264230728149414,68300,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-06,33.75,34.25,33.75,34.125,11.389388084411621,91900,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-07,34.25,34.75,34.25,34.625,11.556262016296387,192600,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-08,34.625,35.0,34.625,35.0,11.681429862976074,142300,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-09,35.0,35.0,34.75,35.0,11.681429862976074,93400,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-12,34.75,34.75,34.5,34.625,11.556262016296387,69000,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-13,34.75,35.0,34.75,34.75,11.597986221313477,229300,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
1990-03-14,34.625,34.75,33.75,34.125,11.389388084411621,50200,CMS,yfinance,2026-02-10T05:08:38.896670+00:00
