date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,1.171875,1.265625,1.171875,1.265625,1.234371304512024,359200,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-03,1.265625,1.265625,1.265625,1.265625,1.234371304512024,169067,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-04,1.265625,1.359375,1.265625,1.3125,1.2800886631011963,496533,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-05,1.359375,1.59375,1.3125,1.5,1.462958812713623,749333,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-08,1.5,1.546875,1.453125,1.453125,1.4172412157058716,234133,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-09,1.5,1.546875,1.453125,1.546875,1.5086760520935059,202933,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-10,1.5,1.59375,1.5,1.59375,1.5543937683105469,380000,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-11,1.59375,1.640625,1.546875,1.59375,1.5543937683105469,155467,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-12,1.59375,1.59375,1.5,1.59375,1.5543937683105469,274667,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-15,1.546875,1.59375,1.5,1.5,1.462958812713623,194667,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-16,1.5,1.546875,1.5,1.546875,1.5086760520935059,92267,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-17,1.546875,1.59375,1.546875,1.59375,1.5543937683105469,67733,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-18,1.59375,1.6875,1.546875,1.640625,1.6001113653182983,186133,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-19,1.6875,1.734375,1.640625,1.734375,1.6915463209152222,211467,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-22,1.6875,1.6875,1.640625,1.640625,1.6001113653182983,300267,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-23,1.640625,1.6875,1.59375,1.640625,1.6001113653182983,71200,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-24,1.59375,1.59375,1.5,1.546875,1.5086760520935059,137600,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-25,1.546875,1.640625,1.546875,1.59375,1.5543937683105469,37600,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-26,1.640625,1.78125,1.640625,1.78125,1.7372629642486572,658133,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-29,1.78125,1.828125,1.734375,1.78125,1.7372629642486572,274133,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-30,1.78125,1.828125,1.6875,1.6875,1.6458284854888916,282400,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-01-31,1.6875,1.734375,1.640625,1.6875,1.6458284854888916,38933,COO,yfinance,2026-02-10T05:08:44.356039+00:00
1990-02-01,1.640625,1.6875,1.59375,1.6875,1.6458284854888916,98133,COO,yfinance,2026-02-10T05:08:44.356039+00:00
