date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,16.84375,17.3125,16.8125,17.28125,4.482487678527832,2678400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-03,17.28125,17.28125,16.84375,17.0,4.409534931182861,2736800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-04,16.90625,16.9375,16.5625,16.78125,4.352795124053955,2671200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-05,16.6875,16.8125,16.53125,16.53125,4.287946701049805,3282400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-08,16.53125,16.71875,16.46875,16.6875,4.3284783363342285,1534000,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-09,16.6875,16.78125,16.5625,16.5625,4.296053886413574,1630400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-10,16.53125,16.625,16.3125,16.5625,4.296053886413574,2067600,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-11,16.5625,16.75,16.5625,16.59375,4.304159641265869,1299600,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-12,16.4375,16.5625,15.875,16.0625,4.1663641929626465,2897600,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-15,16.125,16.21875,16.0625,16.15625,4.190681457519531,1653600,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-16,16.125,16.46875,16.03125,16.46875,4.271739482879639,2666400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-17,16.53125,16.6875,16.28125,16.375,4.247420310974121,1919200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-18,16.375,16.53125,16.1875,16.5,4.279844284057617,2507200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-19,16.75,16.78125,16.65625,16.75,4.3446879386901855,2354400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-22,16.75,16.875,15.96875,16.09375,4.17446756362915,1956800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-23,16.21875,16.5,16.03125,16.375,4.247420310974121,2326000,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-24,16.0625,16.40625,16.03125,16.34375,4.239315509796143,2602800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-25,16.375,16.375,16.125,16.15625,4.190681457519531,1896400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-26,16.15625,16.3125,15.78125,16.09375,4.17446756362915,1823200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-29,16.09375,16.1875,15.84375,16.09375,4.17446756362915,1908800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-30,16.15625,16.3125,16.0,16.28125,4.223102569580078,2238400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-01-31,16.34375,16.78125,16.28125,16.71875,4.336583614349365,1963200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-01,16.75,16.78125,16.65625,16.65625,4.320374011993408,1190000,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-02,16.75,16.84375,16.6875,16.78125,4.352795124053955,1847600,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-05,16.71875,16.96875,16.6875,16.875,4.377114295959473,1524400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-06,16.84375,16.84375,16.6875,16.78125,4.352795124053955,1507200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-07,16.46875,16.96875,16.4375,16.96875,4.447813987731934,3135200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-08,16.90625,17.65625,16.90625,17.5625,4.6034440994262695,5555200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-09,17.5,17.53125,17.21875,17.28125,4.529725074768066,1763200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-12,17.25,17.28125,16.9375,16.9375,4.439623832702637,1472800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-13,16.96875,17.125,16.625,17.09375,4.480576992034912,3201600,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-14,17.28125,17.5,17.1875,17.40625,4.5624895095825195,2800800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-15,17.375,17.4375,17.21875,17.375,4.554300308227539,1686800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-16,17.4375,17.5625,17.34375,17.46875,4.5788726806640625,3468800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-20,17.25,17.34375,17.125,17.3125,4.5379157066345215,2009200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-21,17.25,17.34375,17.09375,17.125,4.488770484924316,3024400,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-22,17.25,17.28125,16.875,17.0,4.456003665924072,2400800,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-23,16.8125,16.9375,16.6875,16.71875,4.382283687591553,2195200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-26,16.71875,17.09375,16.71875,17.09375,4.480576992034912,1849600,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-27,17.0625,17.1875,16.875,16.875,4.423240661621094,1943200,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
1990-02-28,16.875,16.96875,16.78125,16.78125,4.398664951324463,1990000,CVX,yfinance,2026-02-10T05:08:34.342146+00:00
