date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,3.53125,3.59375,3.484375,3.59375,2.179776906967163,236800,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-03,3.578125,3.671875,3.578125,3.65625,2.217686414718628,1187200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-04,3.65625,3.796875,3.65625,3.734375,2.2650718688964844,1714400,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-05,3.765625,3.875,3.765625,3.84375,2.3314132690429688,1227200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-08,3.8125,3.84375,3.78125,3.796875,2.302980899810791,668800,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-09,3.796875,3.890625,3.796875,3.875,2.350367784500122,1501600,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-10,3.84375,3.859375,3.8125,3.8125,2.312457799911499,600000,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-11,3.78125,3.84375,3.75,3.75,2.274549961090088,538400,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-12,3.71875,3.71875,3.59375,3.59375,2.179776906967163,1188000,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-15,3.40625,3.421875,3.328125,3.34375,2.028140068054199,2026400,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-16,3.296875,3.390625,3.265625,3.359375,2.0376172065734863,2199200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-17,3.375,3.375,3.3125,3.3125,2.0091850757598877,247200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-18,3.28125,3.359375,3.265625,3.359375,2.0376172065734863,668800,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-19,3.390625,3.40625,3.34375,3.359375,2.0376172065734863,2926400,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-22,3.359375,3.359375,3.234375,3.234375,1.9617998600006104,211200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-23,3.25,3.3125,3.21875,3.25,1.9712762832641602,199200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-24,3.203125,3.203125,3.109375,3.171875,1.9238897562026978,1144000,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-25,3.1875,3.1875,3.140625,3.140625,1.9049351215362549,248800,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-26,3.140625,3.15625,3.09375,3.140625,1.9049351215362549,302400,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-29,3.15625,3.15625,3.125,3.125,1.8954585790634155,2869600,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-30,3.125,3.15625,3.078125,3.109375,1.8859806060791016,191200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-01-31,3.125,3.1875,3.125,3.15625,1.9144129753112793,291200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-02-01,3.15625,3.1875,3.125,3.1875,1.933367371559143,404000,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-02-02,3.15625,3.234375,3.15625,3.234375,1.9617998600006104,1016000,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-02-05,3.203125,3.25,3.1875,3.234375,1.9617998600006104,4783200,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-02-06,3.21875,3.21875,3.1875,3.21875,1.9523218870162964,173600,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-02-07,3.203125,3.328125,3.203125,3.3125,2.0091850757598877,236800,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-02-08,3.28125,3.328125,3.28125,3.28125,1.990229606628418,121600,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
1990-02-09,3.28125,3.28125,3.21875,3.21875,1.9523218870162964,197600,ECL,yfinance,2026-02-10T05:08:57.902074+00:00
