date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1995-11-17,8.125,8.71875,8.09375,8.625,6.238458633422852,35659200,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-20,8.59375,8.8125,8.1875,8.3125,6.012428283691406,8434000,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-21,8.25,8.28125,7.9375,8.15625,5.899409294128418,6440000,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-22,8.125,8.53125,8.125,8.40625,6.080236434936523,3480800,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-24,8.46875,8.71875,8.4375,8.71875,6.306270122528076,1279200,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-27,8.71875,8.90625,8.625,8.75,6.32887077331543,2403200,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-28,8.75,8.78125,8.5,8.625,6.238458633422852,1054800,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-29,8.59375,8.96875,8.5625,8.75,6.32887077331543,1331200,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-11-30,8.84375,9.1875,8.8125,9.09375,6.577504634857178,2426000,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-12-01,9.09375,9.125,8.9375,9.0,6.509697437286377,978400,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-12-04,9.03125,9.09375,8.84375,8.90625,6.441887378692627,594000,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-12-05,8.90625,8.90625,8.625,8.78125,6.351475238800049,1148800,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-12-06,8.75,9.0,8.75,8.8125,6.3740763664245605,1216000,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-12-07,8.875,8.90625,8.6875,8.75,6.32887077331543,641200,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-12-08,8.71875,8.96875,8.625,8.96875,6.48708963394165,668800,EL,yfinance,2026-02-10T05:09:04.522805+00:00
1995-12-11,9.0,9.09375,8.96875,9.09375,6.577504634857178,660000,EL,yfinance,2026-02-10T05:09:04.522805+00:00
