date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1995-07-10,11.8125,12.25,11.8125,12.25,6.550278663635254,5438000,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-11,12.5625,12.5625,12.375,12.5,6.683961868286133,4907000,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-12,12.5,13.0625,12.4375,13.0625,6.984740257263184,1055800,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-13,13.0,13.125,12.9375,13.0625,6.984740257263184,1373600,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-14,13.0,13.0625,12.9375,13.0,6.951318264007568,985600,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-17,13.0,13.0,12.875,12.9375,6.9178996086120605,947600,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-18,12.9375,12.9375,12.5625,12.625,6.750800609588623,727400,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-19,12.5625,12.5625,11.6875,11.875,6.349761486053467,558200,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-20,11.75,11.8125,11.75,11.8125,6.31633996963501,464600,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-21,11.875,12.1875,11.875,12.0625,6.450023651123047,721200,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-24,12.0625,12.25,12.0625,12.0625,6.450023651123047,509000,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-25,12.125,12.375,12.0625,12.125,6.483442783355713,847000,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-26,12.25,12.5625,12.25,12.5625,6.717378616333008,1584800,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-27,12.5,12.875,12.5,12.875,6.884476184844971,2082600,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
1995-07-28,12.875,13.6875,12.6875,13.6875,7.318936824798584,14640800,FCX,yfinance,2026-02-10T05:09:14.368282+00:00
