date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1999-07-29,19.125,19.875,18.75,18.75,11.93775749206543,4780800,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-07-30,19.0,19.1875,18.625,19.1875,12.216307640075684,1036200,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-02,19.0,19.0,18.75,18.75,11.93775749206543,168800,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-03,18.75,18.8125,18.25,18.75,11.93775749206543,246200,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-04,18.75,18.75,18.125,18.625,11.858171463012695,178200,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-05,18.625,18.625,17.875,18.125,11.539830207824707,67700,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-06,18.125,18.1875,17.375,17.5,11.141910552978516,103900,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-09,17.4375,17.5625,17.1875,17.375,11.062318801879883,75800,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-10,17.25,17.25,16.75,17.0,10.823570251464844,81500,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-11,17.0,17.4375,17.0,17.4375,11.102109909057617,18700,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-12,18.25,18.25,17.625,17.75,11.301076889038086,63400,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-13,17.875,17.9375,17.1875,17.1875,10.942943572998047,62700,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-16,17.0,17.0,16.25,16.4375,10.465438842773438,72600,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-17,16.4375,16.875,16.375,16.625,10.584809303283691,37400,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-18,16.625,16.6875,16.375,16.375,10.425641059875488,36800,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-19,16.375,16.625,16.375,16.5,10.505228996276855,32600,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-20,16.4375,17.1875,16.4375,17.0,10.823570251464844,136100,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-23,17.875,17.9375,17.25,17.375,11.062318801879883,193800,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-24,17.125,17.4375,16.875,17.0625,10.863361358642578,126600,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-25,16.875,17.0,16.5,16.625,10.63780403137207,125500,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-26,16.625,17.0,16.625,17.0,10.877758026123047,32700,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-27,17.25,17.5,17.125,17.4375,11.157696723937988,34300,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-30,17.4375,18.375,17.25,18.0625,11.557618141174316,136000,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-08-31,17.9375,19.25,17.75,19.0,12.157487869262695,309100,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-09-01,19.0625,19.0625,18.25,18.375,11.757575988769531,49100,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-09-02,18.375,18.375,17.75,18.375,11.757575988769531,50900,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-09-03,18.4375,18.5625,18.1875,18.3125,11.71757984161377,52300,LII,yfinance,2026-02-10T05:09:43.032127+00:00
1999-09-07,18.0625,18.0625,17.8125,17.8125,11.397647857666016,12700,LII,yfinance,2026-02-10T05:09:43.032127+00:00
