date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1994-10-31,8.1875,8.3125,8.1875,8.3125,6.468204975128174,1984200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-01,8.3125,8.3125,8.1875,8.25,6.419568061828613,2176400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-02,8.25,8.25,8.1875,8.1875,6.370936393737793,2348200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-03,8.1875,8.25,8.125,8.1875,6.370936393737793,2060800,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-04,8.1875,8.25,8.125,8.125,6.322303771972656,2663800,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-07,8.0625,8.0625,8.0,8.0625,6.2736711502075195,1049400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-08,8.0625,8.0625,7.875,7.875,6.127772808074951,5761000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-09,7.9375,8.0625,7.9375,8.0,6.225037097930908,2480000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-10,8.0,8.0625,8.0,8.0625,6.2736711502075195,1956000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-11,8.0625,8.0625,8.0,8.0,6.225037097930908,1300200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-14,7.9375,7.9375,7.875,7.9375,6.176403999328613,1419200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-15,7.9375,7.9375,7.875,7.875,6.127772808074951,3118800,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-16,7.875,7.9375,7.875,7.875,6.127772808074951,813400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-17,7.875,7.875,7.75,7.8125,6.079139232635498,1477600,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-18,7.8125,7.8125,7.6875,7.75,6.0305047035217285,2452600,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-21,7.75,7.75,7.5625,7.5625,5.884605884552002,3276000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-22,7.5625,7.625,7.4375,7.4375,5.787339210510254,2725000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-23,7.4375,7.5,7.3125,7.5,5.835972309112549,2634200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-25,7.5,7.5,7.5,7.5,5.835972309112549,640800,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-28,7.5,7.5625,7.4375,7.5625,5.884605884552002,1583400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-29,7.5625,7.5625,7.4375,7.5,5.835972309112549,1056400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-11-30,7.5,7.5,7.4375,7.5,5.835972309112549,1086800,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-01,7.5,7.5,7.4375,7.4375,5.787339210510254,979000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-02,7.4375,7.5,7.375,7.5,5.835972309112549,1257200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-05,7.5,7.5625,7.4375,7.4375,5.787339210510254,1071200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-06,7.4375,7.4375,7.375,7.4375,5.787339210510254,1819200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-07,7.4375,7.4375,7.3125,7.375,5.738703727722168,1223400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-08,7.375,7.4375,7.375,7.375,5.738703727722168,1178400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-09,7.375,7.375,7.3125,7.375,5.738703727722168,1682000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-12,7.375,7.4375,7.3125,7.375,5.738703727722168,1011400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-13,7.375,7.5,7.375,7.4375,5.787339210510254,1555200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-14,7.4375,7.5,7.4375,7.5,5.835972309112549,1351600,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-15,7.5,7.5625,7.375,7.5,5.835972309112549,2600400,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-16,7.5,7.5625,7.4375,7.5,5.835972309112549,3428800,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-19,7.5,7.625,7.375,7.5625,5.884605884552002,3590000,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-20,7.5625,7.625,7.5625,7.625,5.933238506317139,1464200,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
1994-12-21,7.625,7.6875,7.625,7.625,5.933238506317139,3717600,MCO,yfinance,2026-02-10T05:09:55.920305+00:00
