date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,6.25,6.3125,6.125,6.125,3.745509386062622,28000,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-03,6.125,6.3125,6.125,6.3125,3.8601670265197754,19200,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-04,6.3125,6.3125,6.125,6.125,3.745509386062622,13600,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-05,6.125,6.125,6.125,6.125,3.745509386062622,800,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-08,6.125,6.3125,6.125,6.125,3.745509386062622,14400,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-09,6.125,6.3125,6.125,6.25,3.821949005126953,107200,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-10,6.25,6.3125,6.1875,6.1875,3.7837283611297607,54400,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-11,6.1875,6.3125,6.1875,6.1875,3.7837283611297607,12800,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-12,6.1875,6.25,6.1875,6.25,3.821949005126953,46400,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-15,6.25,6.25,6.125,6.125,3.745509386062622,13600,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-16,6.125,6.25,6.125,6.1875,3.7837283611297607,116000,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-17,6.1875,6.3125,6.125,6.28125,3.841059446334839,72800,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-18,6.28125,6.3125,6.125,6.1875,3.7837283611297607,29600,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-19,6.1875,6.3125,6.125,6.3125,3.8601670265197754,16000,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-22,6.3125,6.3125,6.125,6.25,3.821949005126953,75200,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-23,6.25,6.375,6.1875,6.375,3.8983898162841797,54400,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-24,6.375,6.375,6.25,6.375,3.8983898162841797,131200,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-25,6.375,6.375,6.25,6.25,3.821949005126953,63200,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-26,6.28125,6.375,6.28125,6.375,3.8983898162841797,119200,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-29,6.375,6.4375,6.3125,6.390625,3.9079408645629883,120000,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
1990-01-30,6.375,6.375,6.3125,6.3125,3.8601670265197754,116800,NDSN,yfinance,2026-02-10T05:10:02.047959+00:00
