date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1991-04-02,22.0,23.25,20.75,21.125,21.00848388671875,2294100,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-03,21.25,21.25,17.0,18.25,18.149341583251953,1716100,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-04,18.25,19.5,17.75,18.0,17.900720596313477,810600,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-05,18.5,18.5,17.75,17.75,17.652099609375,238200,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-08,18.0,18.0,17.5,17.625,17.527790069580078,200100,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-09,18.0,18.0,16.0,16.0,15.911751747131348,319000,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-10,16.0,16.25,15.5,15.875,15.787440299987793,582100,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-11,16.0,16.5,14.75,14.75,14.668645858764648,319400,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-12,14.75,16.5,14.75,16.25,16.16037368774414,329700,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-15,16.5,16.75,16.0,16.125,16.036060333251953,171400,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-16,16.375,16.375,16.0,16.125,16.036060333251953,130500,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-17,16.375,16.375,15.25,15.25,15.165886878967285,187600,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-18,15.5,15.5,14.5,15.25,15.165886878967285,320300,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-19,15.25,15.25,14.625,14.875,14.792956352233887,68900,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-22,14.875,14.875,14.125,14.125,14.04709243774414,79000,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-23,14.125,14.75,14.125,14.25,14.171402931213379,335000,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-24,14.625,14.75,14.375,14.75,14.668645858764648,90500,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-25,14.375,14.75,14.375,14.5,14.420024871826172,115400,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-26,14.5,14.5,14.0,14.375,14.29571533203125,122600,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-29,14.375,14.375,12.375,12.5,12.431056022644043,183700,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-04-30,13.0,13.0,12.0,12.625,12.555365562438965,330000,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-01,12.75,13.875,12.5,13.5,13.42553997039795,237800,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-02,14.0,14.125,13.25,13.5,13.42553997039795,153900,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-03,13.25,13.625,13.0,13.375,13.301229476928711,65300,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-06,13.375,13.625,12.75,13.625,13.549851417541504,163700,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-07,13.875,14.125,13.375,13.375,13.301229476928711,146100,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-08,14.0,14.125,13.25,13.25,13.176918983459473,162600,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-09,13.625,13.625,13.25,13.625,13.549851417541504,25700,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
1991-05-10,13.25,13.625,12.75,12.75,12.679676055908203,125200,REGN,yfinance,2026-02-10T05:10:22.837399+00:00
