date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,8.5625,8.65625,8.46875,8.625,5.219390392303467,156800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-03,8.6875,8.6875,8.5,8.53125,5.162659168243408,236800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-04,8.5625,8.59375,8.4375,8.53125,5.162659168243408,378000,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-05,8.5,8.6875,8.46875,8.59375,5.200479984283447,597600,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-08,8.59375,8.6875,8.5625,8.6875,5.2572150230407715,408800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-09,8.65625,8.8125,8.65625,8.71875,5.276126861572266,439200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-10,8.71875,8.75,8.6875,8.71875,5.276126861572266,198000,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-11,8.75,8.75,8.6875,8.71875,5.276126861572266,369200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-12,8.625,8.625,8.5625,8.59375,5.228967666625977,342400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-15,8.59375,8.59375,8.5625,8.59375,5.228967666625977,173200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-16,8.5625,8.625,8.5625,8.625,5.247982025146484,96000,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-17,8.625,8.6875,8.59375,8.65625,5.266997814178467,114800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-18,8.65625,8.71875,8.625,8.6875,5.286014080047607,155600,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-19,8.71875,8.78125,8.6875,8.75,5.32404088973999,243200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-22,8.75,8.8125,8.71875,8.71875,5.305029392242432,344800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-23,8.75,8.84375,8.71875,8.78125,5.343057155609131,487600,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-24,8.6875,8.8125,8.625,8.75,5.32404088973999,532000,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-25,8.8125,8.875,8.78125,8.8125,5.362071514129639,399600,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-26,8.8125,8.96875,8.8125,8.875,5.40009880065918,396000,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-29,8.84375,8.875,8.8125,8.84375,5.38108491897583,287600,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-30,8.84375,8.90625,8.8125,8.875,5.40009880065918,331200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-01-31,8.875,8.90625,8.875,8.90625,5.419117450714111,125600,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-01,8.90625,8.90625,8.84375,8.84375,5.38108491897583,134400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-02,8.84375,8.90625,8.84375,8.90625,5.419117450714111,85200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-05,8.875,8.9375,8.875,8.90625,5.419117450714111,126400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-06,8.875,8.90625,8.84375,8.84375,5.38108491897583,102800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-07,8.8125,8.875,8.8125,8.875,5.40009880065918,258400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-08,8.875,8.9375,8.84375,8.875,5.40009880065918,374800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-09,8.9375,8.96875,8.90625,8.96875,5.457142353057861,352400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-12,8.9375,8.9375,8.875,8.875,5.40009880065918,104800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-13,8.875,8.9375,8.84375,8.90625,5.419117450714111,126400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-14,8.90625,8.9375,8.90625,8.9375,5.438127517700195,148800,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-15,8.90625,8.9375,8.875,8.90625,5.419117450714111,73200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-16,8.875,8.90625,8.8125,8.84375,5.38108491897583,405600,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-20,8.8125,8.84375,8.75,8.78125,5.343057155609131,284000,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-21,8.75,8.84375,8.71875,8.84375,5.38108491897583,228400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-22,8.84375,8.875,8.8125,8.84375,5.38108491897583,123200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-23,8.8125,8.84375,8.75,8.75,5.32404088973999,236400,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
1990-02-26,8.75,8.875,8.75,8.875,5.40009880065918,155200,RVTY,yfinance,2026-02-10T05:10:24.270776+00:00
