date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1990-01-02,2.71875,2.71875,2.6875,2.71875,2.502562999725342,165600,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-03,2.6875,2.78125,2.6875,2.71875,2.502562999725342,270800,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-04,2.75,2.78125,2.71875,2.75,2.531327486038208,242000,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-05,2.6875,2.6875,2.65625,2.65625,2.445032835006714,452800,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-08,2.625,2.6875,2.625,2.6875,2.4737980365753174,98000,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-09,2.6875,2.6875,2.59375,2.625,2.4162678718566895,102800,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-10,2.625,2.625,2.53125,2.5625,2.3587377071380615,23600,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-11,2.53125,2.59375,2.5,2.59375,2.387502908706665,112000,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-12,2.5,2.53125,2.5,2.53125,2.329972982406616,171600,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-15,2.5,2.53125,2.46875,2.5,2.3012073040008545,115600,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-16,2.5,2.59375,2.5,2.53125,2.329972982406616,198800,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-17,2.53125,2.625,2.5,2.5625,2.3587377071380615,751200,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-18,2.5,2.53125,2.5,2.53125,2.329972982406616,304000,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-19,2.5,2.53125,2.5,2.5,2.3012073040008545,132800,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-22,2.5,2.5,2.3125,2.3125,2.1286168098449707,460000,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-23,2.34375,2.375,2.3125,2.375,2.1861467361450195,468000,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-24,2.375,2.375,2.28125,2.3125,2.1286168098449707,467200,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-25,2.375,2.375,2.3125,2.3125,2.1286168098449707,438400,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-26,2.3125,2.3125,2.1875,2.21875,2.0423221588134766,1368000,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-29,2.25,2.25,2.1875,2.1875,2.013556718826294,341200,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-30,2.21875,2.28125,2.21875,2.28125,2.0998518466949463,808800,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-01-31,2.25,2.28125,2.25,2.25,2.071086883544922,199600,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-02-01,2.25,2.25,2.21875,2.21875,2.0423221588134766,29200,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-02-02,2.15625,2.25,2.15625,2.25,2.071086883544922,513200,TER,yfinance,2026-02-10T05:10:39.589424+00:00
1990-02-05,2.25,2.28125,2.21875,2.25,2.071086883544922,286800,TER,yfinance,2026-02-10T05:10:39.589424+00:00
