date,open,high,low,close,adj_close,volume,ticker,source,updated_at
1999-11-10,65.0,70.3125,64.5,68.25,32.76644515991211,80793700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-11,68.75,76.9375,68.75,75.0,36.007080078125,28309000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-12,76.0,76.625,69.25,70.5,33.846649169921875,14768100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-15,70.5,70.875,67.3125,69.0,33.12649917602539,8675100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-16,67.875,68.0,65.0,66.0,31.686233520507812,6978600,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-17,65.5625,68.1875,65.125,67.6875,32.49638366699219,5806900,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-18,67.9375,68.9375,66.125,66.3125,31.836257934570312,4718700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-19,66.3125,66.3125,64.25,65.0,31.206134796142578,5091100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-22,64.0625,64.25,61.0,63.125,30.30595588684082,4785400,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-23,63.375,67.0,63.25,66.1875,31.776243209838867,2832200,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-24,66.0,68.1875,65.9375,67.6875,32.644351959228516,2179400,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-26,68.4375,69.4375,68.1875,69.125,33.337615966796875,1322500,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-29,70.0,70.25,67.0,68.125,32.8553581237793,1987000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-11-30,67.375,67.625,66.0625,66.0625,31.860633850097656,1686100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-01,66.25,67.375,65.625,65.875,31.770219802856445,1405700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-02,66.0,67.0625,65.875,67.0625,32.342933654785156,1391000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-03,67.4375,67.6875,66.3125,66.4375,32.04149627685547,1753500,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-06,66.5,66.5,65.375,66.25,31.951065063476562,1398900,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-07,65.9375,68.0,65.875,68.0,32.79507064819336,1793100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-08,68.0,68.375,66.75,68.375,32.975929260253906,1774000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-09,68.375,68.75,66.625,67.5,32.553932189941406,1713600,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-10,66.375,67.0,65.375,66.125,31.890792846679688,1248600,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-13,66.375,66.9375,64.875,66.0,31.830509185791016,1417800,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-14,66.0,66.0,64.75,65.0,31.348228454589844,1886600,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-15,65.0,65.0625,63.6875,63.75,30.74536895751953,1602800,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-16,63.75,64.0625,63.25,64.0,30.86594009399414,1364600,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-17,64.75,67.625,64.6875,66.625,32.13193130493164,1980800,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-20,67.6875,68.5,66.9375,68.5,33.03620910644531,1501300,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-21,68.25,69.0,67.5,69.0,33.27732849121094,1265200,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-22,68.9375,68.9375,66.0625,67.0,32.31275177001953,1264700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-23,66.5,67.875,65.625,67.75,32.674495697021484,1180600,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-27,68.5,69.6875,67.5,69.6875,33.608917236328125,1478800,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-28,69.5,69.6875,68.0625,69.0,33.27732849121094,1051400,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-29,69.0,69.375,67.5625,68.0,32.79507064819336,904700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-30,69.25,69.5,68.0,68.0,32.79507064819336,926700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
1999-12-31,68.875,69.5,68.375,69.0,33.27732849121094,649300,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-03,69.6875,69.75,67.0,67.0625,32.342933654785156,1273200,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-04,67.0,67.0,64.625,64.9375,31.31805992126465,1385800,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-05,64.875,68.0,64.75,68.0,32.79507064819336,1401700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-06,65.875,68.125,65.0,68.0,32.79507064819336,1959100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-07,67.625,67.625,65.75,66.375,32.01136016845703,996000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-10,66.875,67.4375,66.4375,67.0625,32.342933654785156,1191700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-11,67.125,67.4375,65.25,65.25,31.468799591064453,1020000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-12,66.125,67.5,65.4375,67.375,32.493629455566406,1097700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-13,67.625,68.5,67.375,68.3125,32.94578552246094,1071200,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-14,68.875,69.25,68.3125,69.0625,33.30748748779297,1160000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-18,69.0,69.0,67.375,68.6875,33.12663650512695,980500,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-19,68.5,68.5625,67.4375,68.25,32.9156379699707,1087300,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-20,68.125,69.125,68.125,68.875,33.217063903808594,1972000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-21,68.875,68.875,66.6875,67.25,32.433345794677734,1270100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-24,67.875,68.25,66.0,66.0,31.830509185791016,831400,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-25,65.625,66.625,64.75,65.875,31.770219802856445,1263000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-26,65.25,65.625,64.5,65.125,31.40850830078125,933400,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-27,65.3125,65.375,64.0,65.125,31.40850830078125,1128400,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-28,65.125,65.875,64.0,64.9375,31.31805992126465,1324700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-01-31,63.0,64.0,59.0,60.0,28.936817169189453,5745800,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-01,59.6875,61.5,58.3125,61.375,29.599943161010742,4761000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-02,59.75,59.9375,57.1875,58.25,28.092830657958984,4740600,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-03,59.25,59.5,57.375,57.625,27.791399002075195,1951900,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-04,58.1875,58.1875,56.0625,56.375,27.18855857849121,1745200,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-07,56.625,56.8125,55.5,55.75,26.887121200561523,1480200,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-08,56.25,59.375,55.75,59.375,28.63540267944336,2055100,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-09,59.5,59.625,58.0,58.0,27.97226905822754,1209400,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-10,58.0625,58.5,56.5,57.0625,27.520116806030273,995700,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-11,56.8125,57.0,55.125,55.125,26.5856990814209,1013900,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-14,55.3125,55.5,54.125,54.375,26.22397804260254,2052800,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-15,54.4375,55.0,53.5625,54.9375,26.495277404785156,1182900,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-16,55.1875,56.4375,54.5,56.0,27.00770378112793,1530000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-17,56.5,58.25,56.125,58.0,27.97226905822754,1036000,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
2000-02-18,58.0,59.4375,55.25,56.9375,27.4598331451416,1529200,UPS,yfinance,2026-02-10T05:10:48.191205+00:00
